#clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
MCL	2	Salmon 3	19	Rps23	10090.ENSMUSP00000054490	40S ribosomal protein S23; Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl- transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome throug [...] 
MCL	2	Salmon 3	19	Rps6	10090.ENSMUSP00000099878	40S ribosomal protein S6; May play an important role in controlling cell growth and proliferation through the selective translation of particular classes of mRNA
MCL	2	Salmon 3	19	Rps8	10090.ENSMUSP00000099757	Ribosomal protein S8; Belongs to the eukaryotic ribosomal protein eS8 family
MCL	2	Salmon 3	19	Rps9	10090.ENSMUSP00000006496	Ribosomal protein S9; Belongs to the universal ribosomal protein uS4 family
MCL	2	Salmon 3	19	Sec61a1	10090.ENSMUSP00000032168	Protein transport protein Sec61 subunit alpha isoform 1; Plays a crucial role in the insertion of secretory and membrane polypeptides into the ER. Required for assembly of membrane and secretory proteins. Tightly associated with membrane- bound ribosomes, either directly or through adapter proteins (By similarity). Plays a role in the pronephric kidney tubule development; Belongs to the SecY/SEC61-alpha family
MCL	2	Salmon 3	19	Sec61a2	10090.ENSMUSP00000100046	Protein transport protein Sec61 subunit alpha isoform 2; Appears to play a crucial role in the insertion of secretory and membrane polypeptides into the ER. It is required for assembly of membrane and secretory proteins. Found to be tightly associated with membrane-bound ribosomes, either directly or through adaptor proteins (By similarity)
MCL	3	Fire Brick 2	19	Anapc1	10090.ENSMUSP00000014499	Anaphase-promoting complex subunit 1; Component of the anaphase promoting complex/cyclosome (APC/C), a cell cycle-regulated E3 ubiquitin ligase that controls progression through mitosis and the G1 phase of the cell cycle. The APC/C complex acts by mediating ubiquitination and subsequent degradation of target proteins: it mainly mediates the formation of 'Lys-11'-linked polyubiquitin chains and, to a lower extent, the formation of 'Lys-48'- and 'Lys-63'-linked polyubiquitin chains (By similarity); Belongs to the APC1 family
MCL	3	Fire Brick 2	19	Anapc4	10090.ENSMUSP00000031072	Anaphase-promoting complex subunit 4; Component of the anaphase promoting complex/cyclosome (APC/C), a cell cycle-regulated E3 ubiquitin ligase that controls progression through mitosis and the G1 phase of the cell cycle. The APC/C complex acts by mediating ubiquitination and subsequent degradation of target proteins: it mainly mediates the formation of 'Lys-11'-linked polyubiquitin chains and, to a lower extent, the formation of 'Lys-48'- and 'Lys-63'-linked polyubiquitin chains (By similarity)
MCL	3	Fire Brick 2	19	Anapc5	10090.ENSMUSP00000083393	Anaphase-promoting complex subunit 5; Component of the anaphase promoting complex/cyclosome (APC/C), a cell cycle-regulated E3 ubiquitin ligase that controls progression through mitosis and the G1 phase of the cell cycle. The APC/C complex acts by mediating ubiquitination and subsequent degradation of target proteins: it mainly mediates the formation of 'Lys-11'-linked polyubiquitin chains and, to a lower extent, the formation of 'Lys-48'- and 'Lys-63'-linked polyubiquitin chains (By similarity); Belongs to the APC5 family
MCL	3	Fire Brick 2	19	Cdc16	10090.ENSMUSP00000047950	Cell division cycle protein 16 homolog; Component of the anaphase promoting complex/cyclosome (APC/C), a cell cycle-regulated E3 ubiquitin ligase that controls progression through mitosis and the G1 phase of the cell cycle. The APC/C complex acts by mediating ubiquitination and subsequent degradation of target proteins: it mainly mediates the formation of 'Lys-11'-linked polyubiquitin chains and, to a lower extent, the formation of 'Lys-48'- and 'Lys-63'-linked polyubiquitin chains (By similarity)
MCL	3	Fire Brick 2	19	Cdc23	10090.ENSMUSP00000122420	Cell division cycle protein 23 homolog; Component of the anaphase promoting complex/cyclosome (APC/C), a cell cycle-regulated E3 ubiquitin ligase that controls progression through mitosis and the G1 phase of the cell cycle. The APC/C complex acts by mediating ubiquitination and subsequent degradation of target proteins: it mainly mediates the formation of 'Lys-11'-linked polyubiquitin chains and, to a lower extent, the formation of 'Lys-48'- and 'Lys-63'-linked polyubiquitin chains (By similarity)
MCL	3	Fire Brick 2	19	Cul7	10090.ENSMUSP00000049128	Cullin-7; Core component of the 3M and Cul7-RING(FBXW8) complexes, which mediates the ubiquitination of target proteins. Core component of the 3M complex, a complex required to regulate microtubule dynamics and genome integrity. It is unclear how the 3M complex regulates microtubules, it could act by controlling the level of a microtubule stabilizer. Interaction with CUL9 is required to inhibit CUL9 activity and ubiquitination of BIRC5. Core component of a Cul7-RING ubiquitin-protein ligase with FBXW8, which mediates ubiquitination and consequent degradation of target proteins such as  [...] 
MCL	3	Fire Brick 2	19	Dcaf11	10090.ENSMUSP00000072344	DDB1- and CUL4-associated factor 11; May function as a substrate receptor for CUL4-DDB1 E3 ubiquitin-protein ligase complex
MCL	3	Fire Brick 2	19	Fbxo22	10090.ENSMUSP00000034859	F-box only protein 22; Substrate-recognition component of the SCF (SKP1-CUL1-F- box protein)-type E3 ubiquitin ligase complex. Promotes the proteasome-dependent degradation of key sarcomeric proteins, such as alpha-actinin (ACTN2) and filamin-C (FLNC), essential for maintenance of normal contractile function
MCL	3	Fire Brick 2	19	Glmn	10090.ENSMUSP00000077168	Glomulin; Essential for normal development of the vasculature. May represent a naturally occurring ligand of the immunophilins FKBP59 and FKBP12. May function as an membrane anchoring protein. May stimulate the p70S6K pathway. May inhibit cell proliferation and increase IL2 production (By similarity)
MCL	3	Fire Brick 2	19	Hectd1	10090.ENSMUSP00000136449	E3 ubiquitin-protein ligase HECTD1; E3 ubiquitin-protein ligase which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates. Mediates 'Lys-63'-linked polyubiquitination of HSP90AA1 which leads to its intracellular localization and reduced secretion. Negatively regulating HSP90AA1 secretion in cranial mesenchyme cells impairs their emigration and is consequently essential for the correct development of the cranial neural folds and neural tube closure; Belongs to the UPL family. K-HECT subfamily
MCL	3	Fire Brick 2	19	Herc4	10090.ENSMUSP00000020258	Probable E3 ubiquitin-protein ligase HERC4; Probable E3 ubiquitin-protein ligase involved in either protein trafficking or in the distribution of cellular structures. Required for spermatozoon maturation and fertility, and for the removal of the cytoplasmic droplet of the spermatozoon. E3 ubiquitin-protein ligases accept ubiquitin from an E2 ubiquitin- conjugating enzyme in the form of a thioester and then directly transfer it to targeted substrates
MCL	3	Fire Brick 2	19	Nedd4	10090.ENSMUSP00000034740	E3 ubiquitin-protein ligase NEDD4; E3 ubiquitin-protein ligase which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates. Specifically ubiquitinates 'Lys-63' in target proteins (By similarity). Monoubiquitinates IGF1R at multiple sites, thus leading to receptor internalization and degradation in lysosomes. Ubiquitinates FGFR1, leading to receptor internalization and degradation in lysosomes. Involved in ubiquitination of ERBB4 intracellular domain E4ICD1. Predominantly involved in ubiquiti [...] 
MCL	3	Fire Brick 2	19	Psmb5	10090.ENSMUSP00000022803	Proteasome subunit beta type-5; Component of the 20S core proteasome complex involved in the proteolytic degradation of most intracellular proteins. This complex plays numerous essential roles within the cell by associating with different regulatory particles. Associated with two 19S regulatory particles, forms the 26S proteasome and thus participates in the ATP-dependent degradation of ubiquitinated proteins. The 26S proteasome plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins that could impair cellular functions, and by removing prot [...] 
MCL	3	Fire Brick 2	19	Psmd3	10090.ENSMUSP00000017365	26S proteasome non-ATPase regulatory subunit 3; Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair
MCL	3	Fire Brick 2	19	Psmd6	10090.ENSMUSP00000022256	26S proteasome non-ATPase regulatory subunit 6; Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair
MCL	3	Fire Brick 2	19	Rnf14	10090.ENSMUSP00000126205	E3 ubiquitin-protein ligase RNF14; Might act as an E3 ubiquitin-protein ligase which accepts ubiquitin from specific E2 ubiquitin-conjugating enzymes and then transfers it to substrates, which could be nuclear proteins. Could play a role as a coactivator for androgen- and, to a lesser extent, progesterone-dependent transcription (By similarity)
MCL	3	Fire Brick 2	19	Trip12	10090.ENSMUSP00000027421	E3 ubiquitin-protein ligase TRIP12; E3 ubiquitin-protein ligase involved in ubiquitin fusion degradation (UFD) pathway and regulation of DNA repair. Part of the ubiquitin fusion degradation (UFD) pathway, a process that mediates ubiquitination of protein at their N-terminus, regardeless of the presence of lysine residues in target proteins. In normal cells, mediates ubiquitination and degradation of isoform p19ARF/ARF of CDKN2A, a lysine-less tumor suppressor required for p53/TP53 activation under oncogenic stress. In cancer cells, however, isoform p19ARF/ARF and TRIP12 are located in  [...] 
MCL	3	Fire Brick 2	19	Ube3c	10090.ENSMUSP00000045998	Ubiquitin-protein ligase E3C; E3 ubiquitin-protein ligase that accepts ubiquitin from the E2 ubiquitin-conjugating enzyme UBE2D1 in the form of a thioester and then directly transfers the ubiquitin to targeted substrates. Can assemble unanchored poly-ubiquitin chains in either 'Lys-29'- or 'Lys-48'-linked polyubiquitin chains. Has preference for 'Lys-48' linkages. It can target itself for ubiquitination in vitro and may promote its own degradation in vivo
MCL	3	Fire Brick 2	19	Ube4b	10090.ENSMUSP00000099501	Ubiquitin conjugation factor E4 B; Ubiquitin-protein ligase that probably functions as an E3 ligase in conjunction with specific E1 and E2 ligases. May also function as an E4 ligase mediating the assembly of polyubiquitin chains on substrates ubiquitinated by another E3 ubiquitin ligase
MCL	4	Salmon	15	Arl8a	10090.ENSMUSP00000027684	ADP-ribosylation factor-like protein 8A; May play a role in lysosomes motility. Alternatively, may play a role in chromosome segregation (By similarity)
MCL	4	Salmon	15	Atp11b	10090.ENSMUSP00000029257	ATPase, class VI, type 11B; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
MCL	4	Salmon	15	Dad1	10090.ENSMUSP00000122366	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1; Essential subunit of the N-oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser/Thr consensus motif in nascent polypeptide chains. Required for the assembly of both SST3A- and SS3B-containing OST complexes. Required for efficient N-glycosylation. Loss of the DAD1 protein triggers apoptosis; Belongs to the DAD/OST2 family
MCL	4	Salmon	15	Ddost	10090.ENSMUSP00000030538	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit; Essential subunit of the N-oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser/Thr consensus motif in nascent polypeptide chains. Required for the assembly of both SST3A- and SS3B-containing OST complexes. Required for efficient N-glycosylation; Belongs to the DDOST 48 kDa subunit family
MCL	4	Salmon	15	Dnajc13	10090.ENSMUSP00000035170	DnaJ (Hsp40) homolog, subfamily C, member 13
MCL	4	Salmon	15	Jagn1	10090.ENSMUSP00000098631	Protein jagunal homolog 1; Endoplasmic reticulum transmembrane protein involved in vesicle-mediated transport, which is required for neutrophil function. Required for vesicle-mediated transport; it is however unclear whether it is involved in early secretory pathway or intracellular protein transport. Acts as a regulator of neutrophil function, probably via its role in vesicle-mediated transport: required for defense against fungal pathogens and for granulocyte colony-stimulating factor (GM-CSF) signaling pathway; possibly by regulating glycosylation and/or targeting of proteins contri [...] 
MCL	4	Salmon	15	Krtcap2	10090.ENSMUSP00000043540	Keratinocyte-associated protein 2; Acts as accessory component of the N-oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser/Thr consensus motif in nascent polypeptide chains. Required for efficient substrate- specific N-glycosylation probably involving the STT3A-containing OST complex. May be involved in N-glycosylation of APP (amyloid- beta precursor protein). Can modulate gamma-secretase cleavage of APP by enhancing endoprotelysis of PSEN1; Belong [...] 
MCL	4	Salmon	15	Magt1	10090.ENSMUSP00000120994	Magnesium transporter protein 1; Acts as accessory component of the N-oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser/Thr consensus motif in nascent polypeptide chains. Involved in N-glycosylation of STT3B-dependent substrates. Specifically required for the glycosylation of a subset of acceptor sites that are near cysteine residues; in this function seems to act redundantly with TUSC3. In its oxidized form proposed to form transient mixed disulf [...] 
MCL	4	Salmon	15	Manba	10090.ENSMUSP00000029814	Beta-mannosidase; Exoglycosidase that cleaves the single beta-linked mannose residue from the non-reducing end of all N-linked glycoprotein oligosaccharides; Belongs to the glycosyl hydrolase 2 family
MCL	4	Salmon	15	Mgst1	10090.ENSMUSP00000008684	Microsomal glutathione S-transferase 1; Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles
MCL	4	Salmon	15	Ostc	10090.ENSMUSP00000046480	Oligosaccharyltransferase complex subunit OSTC; May act as substrate-specific component of the N- oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X- Ser/Thr consensus motif in nascent polypeptide chains. May be involved in N-glycosylation of APP (amyloid-beta precursor protein). Can modulate gamma-secretase cleavage of APP by enhancing endoprotelysis of PSEN1; Belongs to the OSTC family
MCL	4	Salmon	15	Rpn1	10090.ENSMUSP00000032143	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1; Essential subunit of the N-oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser/Thr consensus motif in nascent polypeptide chains; Belongs to the OST1 family
MCL	4	Salmon	15	Stt3a	10090.ENSMUSP00000113116	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A; Catalytic subunit of the N-oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser/Thr consensus motif in nascent polypeptide chains. N-glycosylation occurs cotranslationally and the complex associates with the Sec61 complex at the channel-forming translocon complex that mediates protein translocation across the endoplasmic reticulum (ER). SST3A seems to be involved in complex [...] 
MCL	4	Salmon	15	Stt3b	10090.ENSMUSP00000035010	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B; Catalytic component of oligosaccharyltransferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser/Thr consensus motif in nascent polypeptide chains. N-glycosylation occurs cotranslationally and the complex associates with the Sec61 complex at the channel-forming translocon complex that mediates protein translocation across the endoplasmic reticulum (ER). STT3B is present in a small subset of OST  [...] 
MCL	4	Salmon	15	Tusc3	10090.ENSMUSP00000126080	Tumor suppressor candidate 3; Acts as accessory component of the N-oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser/Thr consensus motif in nascent polypeptide chains. Involved in N-glycosylation of STT3B-dependent substrates. Specifically required for the glycosylation of a subset of acceptor sites that are near cysteine residues; in this function seems to act redundantly with MAGT1. In its oxidized form proposed to form transient mixed disulfide [...] 
MCL	5	Fire Brick	8	Atp2b4	10090.ENSMUSP00000119242	Plasma membrane calcium-transporting ATPase 4; Calcium/calmodulin-regulated and magnesium-dependent enzyme that catalyzes the hydrolysis of ATP coupled with the transport of calcium out of the cell (By similarity). By regulating sperm cell calcium homeostasis, may play a role in sperm motility; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IIB subfamily
MCL	5	Fire Brick	8	Itpr2	10090.ENSMUSP00000049584	Inositol 1,4,5-trisphosphate receptor type 2; Receptor for inositol 1,4,5-trisphosphate, a second messenger that mediates the release of intracellular calcium. This release is regulated by cAMP both dependently and independently of PKA
MCL	5	Fire Brick	8	Lipe	10090.ENSMUSP00000003207	Hormone-sensitive lipase; In adipose tissue and heart, it primarily hydrolyzes stored triglycerides to free fatty acids, while in steroidogenic tissues, it principally converts cholesteryl esters to free cholesterol for steroid hormone production; Belongs to the 'GDXG' lipolytic enzyme family
MCL	5	Fire Brick	8	Pfkfb1	10090.ENSMUSP00000079692	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1; Synthesis and degradation of fructose 2,6-bisphosphate
MCL	5	Fire Brick	8	Prkaca	10090.ENSMUSP00000005606	cAMP-dependent protein kinase catalytic subunit alpha; Phosphorylates a large number of substrates in the cytoplasm and the nucleus. Regulates the abundance of compartmentalized pools of its regulatory subunits through phosphorylation of PJA2 which binds and ubiquitinates these subunits, leading to their subsequent proteolysis. Phosphorylates CDC25B, ABL1, NFKB1, CLDN3, PSMC5/RPT6, PJA2, RYR2, RORA and VASP. RORA is activated by phosphorylation. Required for glucose- mediated adipogenic differentiation increase and osteogenic differentiation inhibition from osteoblasts. Involved in the [...] 
MCL	5	Fire Brick	8	Prkacb	10090.ENSMUSP00000005164	cAMP-dependent protein kinase catalytic subunit beta; Mediates cAMP-dependent signaling triggered by receptor binding to GPCRs. PKA activation regulates diverse cellular processes such as cell proliferation, the cell cycle, differentiation and regulation of microtubule dynamics, chromatin condensation and decondensation, nuclear envelope disassembly and reassembly, as well as regulation of intracellular transport mechanisms and ion flux. Regulates the abundance of compartmentalized pools of its regulatory subunits through phosphorylation of PJA2 which binds and ubiquitinates these subu [...] 
MCL	5	Fire Brick	8	Sik2	10090.ENSMUSP00000038761	Serine/threonine-protein kinase SIK2; Phosphorylates 'Ser-789' of IRS1 in insulin-stimulated adipocytes, potentially modulating the efficiency of insulin signal transduction. Inhibits CREB activity by phosphorylating and repressing TORCs, the CREB-specific coactivators; Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. SNF1 subfamily
